lat,lon,time
51.677615102417654,5.29306886247522,2021-01-08T11:02:09Z
51.67774110451707,5.293105761793268,2021-01-08T11:02:10Z
51.6778788393559,5.293137050366418,2021-01-08T11:02:11Z
51.678001314244945,5.293176901279386,2021-01-08T11:02:12Z
51.67813249182931,5.293234789580936,2021-01-08T11:02:13Z
51.678257968972524,5.293276279929576,2021-01-08T11:02:14Z
51.678380309346586,5.293294886952234,2021-01-08T11:02:15Z
51.67851030306842,5.293319280138951,2021-01-08T11:02:16Z
51.67863599733092,5.293363039319805,2021-01-08T11:02:17Z
51.67876842076826,5.293391547452157,2021-01-08T11:02:18Z
51.678900679185475,5.293432365017513,2021-01-08T11:02:19Z
51.67903176181901,5.2934649159526295,2021-01-08T11:02:20Z
51.679162203477105,5.293502123137652,2021-01-08T11:02:21Z
51.67930106512171,5.293538174082991,2021-01-08T11:02:22Z
51.679434460456015,5.293563047249401,2021-01-08T11:02:23Z
51.67956475811064,5.293585458018317,2021-01-08T11:02:24Z
51.67969560489992,5.293618731869517,2021-01-08T11:02:25Z
51.67983675728409,5.293658439946069,2021-01-08T11:02:26Z
51.67997832243048,5.293694359740505,2021-01-08T11:02:27Z
51.68012004446036,5.293730487852589,2021-01-08T11:02:28Z
51.680258240530364,5.293762293890931,2021-01-08T11:02:29Z
51.68039236060268,5.29379373163826,2021-01-08T11:02:30Z
51.68053151347979,5.293827483105435,2021-01-08T11:02:31Z
51.68066681957619,5.293859382015057,2021-01-08T11:02:32Z
51.680797345595956,5.293889336244959,2021-01-08T11:02:33Z
51.680923354692396,5.29391494898979,2021-01-08T11:02:34Z
51.681046177683385,5.2939442299190125,2021-01-08T11:02:35Z
51.68116942679397,5.293964568114534,2021-01-08T11:02:36Z
51.68129418934959,5.294008467338564,2021-01-08T11:02:37Z
51.6814277629844,5.294038315177692,2021-01-08T11:02:38Z
51.68156080384711,5.294067854384587,2021-01-08T11:02:39Z
51.68168367700723,5.294097659890079,2021-01-08T11:02:40Z
51.6817997910559,5.294116415582786,2021-01-08T11:02:41Z
51.6819225091826,5.294137761696909,2021-01-08T11:02:42Z
51.68204790473223,5.2941699124885595,2021-01-08T11:02:43Z
51.68217044678026,5.294192940949404,2021-01-08T11:02:44Z
51.68227599964457,5.294269716057827,2021-01-08T11:02:45Z
51.682397103325115,5.294284974320932,2021-01-08T11:02:46Z
51.68249526862299,5.294308520461878,2021-01-08T11:02:47Z
51.682576270277245,5.294320113520939,2021-01-08T11:02:48Z
51.682645596697924,5.294328714379935,2021-01-08T11:02:49Z
51.68269344837162,5.294319339786027,2021-01-08T11:02:50Z
51.682725135766944,5.294314135183469,2021-01-08T11:02:51Z
51.682756667065995,5.294306522758301,2021-01-08T11:02:52Z
51.68278021556847,5.294297441799096,2021-01-08T11:02:53Z
51.68280306900553,5.294288695323619,2021-01-08T11:02:55Z
51.68284913495106,5.294288807671954,2021-01-08T11:03:02Z
51.68287979560795,5.294273348881608,2021-01-08T11:03:03Z
51.68291423015631,5.294266523568796,2021-01-08T11:03:04Z
51.68295148875222,5.294273474039343,2021-01-08T11:03:05Z
51.682995998780164,5.294322218507936,2021-01-08T11:03:06Z
51.68302979978719,5.294396560707336,2021-01-08T11:03:07Z
51.68306946952129,5.294494138240242,2021-01-08T11:03:08Z
51.68310140447015,5.294587073055767,2021-01-08T11:03:09Z
51.68313896295579,5.294666954671256,2021-01-08T11:03:10Z
51.6831562513594,5.294764254916033,2021-01-08T11:03:11Z
51.68318392540935,5.294845022666215,2021-01-08T11:03:12Z
51.683215296617924,5.294936580710659,2021-01-08T11:03:13Z
51.6832458035284,5.2950256164367335,2021-01-08T11:03:14Z
51.68326749866768,5.295122445232984,2021-01-08T11:03:15Z
51.68329273331498,5.295229001276915,2021-01-08T11:03:16Z
51.683316048330894,5.295309151040823,2021-01-08T11:03:17Z
51.68334122262414,5.295389612308377,2021-01-08T11:03:18Z
51.68336238801143,5.295455668583728,2021-01-08T11:03:19Z
51.68338438367005,5.295503599421947,2021-01-08T11:03:20Z
51.68341701257649,5.295521955766212,2021-01-08T11:03:21Z
51.68349222436244,5.295482692479627,2021-01-08T11:03:23Z
51.683529268625044,5.295445220872205,2021-01-08T11:03:24Z
51.683560472770196,5.295410043159117,2021-01-08T11:03:25Z
51.683587099515265,5.295379591073819,2021-01-08T11:03:26Z
51.68361158127778,5.295340685684723,2021-01-08T11:03:27Z
51.68363953318336,5.295297395925197,2021-01-08T11:03:28Z
51.68366839500319,5.295235483666636,2021-01-08T11:03:29Z
51.683697831006015,5.295176903448039,2021-01-08T11:03:30Z
51.683722702565156,5.2951199556765784,2021-01-08T11:03:31Z
51.68375112985168,5.295069999361655,2021-01-08T11:03:32Z
51.68378299882982,5.295035842727963,2021-01-08T11:03:33Z
51.68381063371294,5.295000801885538,2021-01-08T11:03:34Z
51.68385892521768,5.295028637012177,2021-01-08T11:03:35Z
51.68389767945642,5.294985738611268,2021-01-08T11:03:36Z
51.68393009158411,5.294976865928695,2021-01-08T11:03:37Z
51.68395445884139,5.2949665343875525,2021-01-08T11:03:38Z
51.683976524967456,5.29496011613927,2021-01-08T11:03:39Z
51.683995494212084,5.29495982063452,2021-01-08T11:03:40Z
51.68402764623649,5.2949625676921555,2021-01-08T11:03:42Z
51.684067958967624,5.294949563809053,2021-01-08T11:03:44Z
51.68409177150043,5.294941882478365,2021-01-08T11:03:45Z
51.68410858542303,5.294810868844518,2021-01-08T11:03:46Z
51.684130582281185,5.29476861034268,2021-01-08T11:03:47Z
